diskutieren_f1	Werkeywordtag soll mit wem 	diskutierenkeywordtag 	
diskutieren_f1	Über die Änderungsanträge des Bündnis 90 zu dem Bericht solle nach der Sommerpause 	diskutiertkeywordtag 	werden 
diskutieren_f1	Während die Gewerkschafter noch 	diskutierenkeywordtag 	wie sie den Ministerpräsidenten am wirkungsvollsten anmachen könnten fährt die Wagenkolonne vor und rauschender Beifall empfängt den `` Landesvater '' der sich sogleich im Applaus badet Hände schüttelt freundliche Worte verteilt nach allen Seiten und zu jedermann 
diskutieren_f1	Die Politiker sollten sich nicht bloß Asche aufs Haupt streuen angesichts dieser `` ernstesten Krise des Parteiensystems seit den 50er Jahren '' Glotz sondern unter der Überschrift `` Pro Politik '' Auswegekeywordtag 	diskutierenkeywordtag 	
diskutieren_f1	Die Arbeitnehmer-Vertreter wollen das von der Beratungsfirma McKinsey miterarbeitete Rationalisierungskonzept unter der Bezeichnung AOE Analyse der Organisationseinheiten heute und morgen mit Postdienstchef Klaus Zumwinkel 	diskutierenkeywordtag 	
diskutieren_f1	Er sei im Prinzip nicht gegen eine Erhöhung der Mineralölsteuer diekeywordtag auch in der SPD 	diskutiertkeywordtag 	werde sagte Walther am Dienstag in Bonn 
diskutieren_f1	Die Fernfahrer 	diskutiertenkeywordtag 	über den Kompromiß und ihr Verband hielt den Streikaufruf aufrecht weil er grundsätzlich jedes Strafpunktesystem mit Führerscheinentzug ablehnt 
diskutieren_f1	Bevor neue Forderungen erhoben würden müsse über Arbeitszeit breit 	diskutiertkeywordtag 	werden 
diskutieren_f1	Über hundert Wissenschaftler Schulräte Schüler und Lehrer 	diskutiertenkeywordtag 	jetzt mit dem Ministerpräsidenten und Mitgliedern der Kommission in Düsseldorf 
diskutieren_f1	Bis zum Freitag werden die 160 Synodalen Vertreter der 29 Millionen Protestanten in Deutschland verschiedene Aspekte der europäischen Einigung und den Beitrag der Kirchen in diesem Prozeß 	diskutierenkeywordtag 	
diskutieren_f1	Der Sprecher des US-Außenministeriums Nicolas Burns sagte zu der Kritik Goldstones erkeywordtag könne geheime Informationen die den USA vorlägen jetzt nicht öffentlich 	diskutierenkeywordtag 	
diskutieren_f1	Die Gesetzesnovelle soll am Freitag vom Bundestag beschlossen und zuvor am Mittwoch vom Sozialausschuß des Bundestages 	diskutiertkeywordtag 	werden 
diskutieren_f1	Auch Libuse Monikova und Alexandär Tisma werden über das Generalthema Im Fahrstuhl des Jahrhunderts 	diskutierenkeywordtag 	
diskutieren_f1	Bei der Neuverhandlung der vier Fälle müsse der Ehrenschutz für die Soldaten eindeutig gewährleistet sein oder mankeywordtag müsse über Gesetzesänderungen 	diskutierenkeywordtag 	meinte der Minister 
diskutieren_f1	Die CDU/CSU-Fraktion habe den Kompromiß 	diskutiertkeywordtag 	auf Vorschlag ihres Vorsitzenden Wolfgang Schäuble aber nicht abgestimmt 
diskutieren_f1	In einer zweiten Studie diekeywordtag ebenfalls auf dem bevorstehenden Parteitag 	diskutiertkeywordtag 	werden soll werden für die dramatischen Wählerverluste der SPD in Großstädten ähnliche Gründe genannt 
diskutieren_f1	In der Tat hatte die Unionsfraktion am Dienstag für ihre Verhältnisse ungewöhnlich kontrovers 	diskutiertkeywordtag 	
diskutieren_f1	In der Tat hatte die Unionsfraktion für ihre Verhältnisse ungewöhnlich kontrovers 	diskutiertkeywordtag 	
diskutieren_f1	In vielen Gesprächen mit Hildebrandt wurden die prachtvollen Bauten und der Park zwischen beiden 	diskutiertkeywordtag 	
